,SiteName,2019,2020,Shift,Area,Measure,Year Change,% Change,Colour,Table,GenericLocation,RevenueType,LocationName,Day,OrdDay,OrdSession,Session,DaySession,Colour_TY,Colour_LY,Colour_CHG,Count,Average_TY,Average_LY,Average_Year Change,Average_% Change,Average_Colour
0,White City,19990.18,12834.29,All Shifts,Full Site,Revenue,-7155.889999999999,-35.797026339932906,Red,Totals,,,,,,,,,,,,,,,,,
1,Trinity,34794.78,24195.499999999996,All Shifts,Full Site,Revenue,-10599.280000000002,-30.462270489998794,Red,Totals,,,,,,,,,,,,,,,,,
2,The Modern Pantry,0.0,14598.5,All Shifts,Full Site,Revenue,14598.5,100.0,lime,Totals,,,,,,,,,,,,,,,,,
3,South Place Hotel,200821.89000000007,195206.2,All Shifts,Full Site,Revenue,-5615.6900000000605,-2.7963535250066904,Red,Totals,,,,,,,,,,,,,,,,,
4,Skylon,51429.37999999999,52023.99999999997,All Shifts,Full Site,Revenue,594.6199999999808,1.1561873777206353,lime,Totals,,,,,,,,,,,,,,,,,
5,Sartoria,44425.329999999994,27843.809999999994,All Shifts,Full Site,Revenue,-16581.52,-37.324472322434076,Red,Totals,,,,,,,,,,,,,,,,,
6,Radici,8871.339999999998,9947.97,All Shifts,Full Site,Revenue,1076.630000000001,12.13604709096936,lime,Totals,,,,,,,,,,,,,,,,,
7,Quaglinos,66873.11,99120.31000000001,All Shifts,Full Site,Revenue,32247.20000000001,48.221474969535606,lime,Totals,,,,,,,,,,,,,,,,,
8,Plateau,35148.95000000001,25335.05,All Shifts,Full Site,Revenue,-9813.900000000012,-27.92089095122332,Red,Totals,,,,,,,,,,,,,,,,,
9,Paternoster Chophouse,38958.569999999985,35651.35,All Shifts,Full Site,Revenue,-3307.2199999999866,-8.489069285653935,Red,Totals,,,,,,,,,,,,,,,,,
10,Orrery,26123.260000000006,31685.400000000012,All Shifts,Full Site,Revenue,5562.140000000007,21.291906140351568,lime,Totals,,,,,,,,,,,,,,,,,
11,New Street Warehouse,48901.6,41991.52000000002,All Shifts,Full Site,Revenue,-6910.07999999998,-14.130580594499934,Red,Totals,,,,,,,,,,,,,,,,,
12,Madison,62615.98000000001,49720.129999999976,All Shifts,Full Site,Revenue,-12895.850000000035,-20.595142006880724,Red,Totals,,,,,,,,,,,,,,,,,
13,Le Pont de la Tour,37119.73000000001,25414.569999999996,All Shifts,Full Site,Revenue,-11705.160000000014,-31.533526779424342,Red,Totals,,,,,,,,,,,,,,,,,
14,Launceston Place,14096.99,10198.320000000002,All Shifts,Full Site,Revenue,-3898.6699999999983,-27.656045723235938,Red,Totals,,,,,,,,,,,,,,,,,
15,Issho,14798.02,17093.379999999997,All Shifts,Full Site,Revenue,2295.359999999997,15.511264344824488,lime,Totals,,,,,,,,,,,,,,,,,
16,German Gymnasium,122397.94999999994,104730.41999999997,All Shifts,Full Site,Revenue,-17667.52999999997,-14.434498290208275,Red,Totals,,,,,,,,,,,,,,,,,
17,Fiume,11452.779999999999,7011.110000000005,All Shifts,Full Site,Revenue,-4441.669999999994,-38.782461550819924,Red,Totals,,,,,,,,,,,,,,,,,
18,East 59th,6084.530000000002,4705.619999999999,All Shifts,Full Site,Revenue,-1378.9100000000026,-22.66255569452369,Red,Totals,,,,,,,,,,,,,,,,,
19,Coq d'Argent,61988.45999999999,43993.630000000034,All Shifts,Full Site,Revenue,-17994.829999999958,-29.029322554552834,Red,Totals,,,,,,,,,,,,,,,,,
20,Cantina,11740.92,6153.090000000002,All Shifts,Full Site,Revenue,-5587.829999999998,-47.59277807871954,Red,Totals,,,,,,,,,,,,,,,,,
21,Butlers Wharf Chophouse,17300.739999999994,15563.540000000006,All Shifts,Full Site,Revenue,-1737.199999999988,-10.041188989603848,Red,Totals,,,,,,,,,,,,,,,,,
22,Blueprint Café,3536.6399999999994,2679.439999999999,All Shifts,Full Site,Revenue,-857.2000000000003,-24.237694534925815,Red,Totals,,,,,,,,,,,,,,,,,
23,Bluebird Chelsea,57067.05999999999,44357.27000000004,All Shifts,Full Site,Revenue,-12709.78999999995,-22.27167476298928,Red,Totals,,,,,,,,,,,,,,,,,
24,Avenue,17842.889999999992,15877.069999999994,All Shifts,Full Site,Revenue,-1965.819999999998,-11.017385636519638,Red,Totals,,,,,,,,,,,,,,,,,
25,Aster,35285.18999999998,32028.159999999996,All Shifts,Full Site,Revenue,-3257.0299999999843,-9.230586543532814,Red,Totals,,,,,,,,,,,,,,,,,
26,20 Stories,52001.030000000006,82881.73999999998,All Shifts,Full Site,Revenue,30880.70999999997,59.38480449329555,lime,Totals,,,,,,,,,,,,,,,,,
27,100 Wardour Street,45078.37000000001,34929.62000000001,All Shifts,Full Site,Revenue,-10148.75,-22.513569146355554,Red,Totals,,,,,,,,,,,,,,,,,
28,White City,5532.580000000003,6181.790000000001,Lunch,Full Site,Revenue,649.2099999999982,11.734308405843167,lime,Totals,,,,,,,,,,,,,,,,,
29,Trinity,12259.7,5443.609999999999,Lunch,Full Site,Revenue,-6816.090000000002,-55.59752685628524,Red,Totals,,,,,,,,,,,,,,,,,
30,The Modern Pantry,0.0,14430.5,Lunch,Full Site,Revenue,14430.5,100.0,lime,Totals,,,,,,,,,,,,,,,,,
31,South Place Hotel,31660.290000000005,18913.88,Lunch,Full Site,Revenue,-12746.410000000003,-40.259928130790975,Red,Totals,,,,,,,,,,,,,,,,,
32,Skylon,12679.599999999999,11795.369999999995,Lunch,Full Site,Revenue,-884.2300000000032,-6.973642701662539,Red,Totals,,,,,,,,,,,,,,,,,
33,Sartoria,11717.46,9697.190000000002,Lunch,Full Site,Revenue,-2020.2699999999968,-17.2415352815371,Red,Totals,,,,,,,,,,,,,,,,,
34,Radici,2754.5699999999997,3297.97,Lunch,Full Site,Revenue,543.4000000000001,19.72721695219218,lime,Totals,,,,,,,,,,,,,,,,,
35,Quaglinos,12522.399999999998,18537.23,Lunch,Full Site,Revenue,6014.830000000002,48.032565642368894,lime,Totals,,,,,,,,,,,,,,,,,
36,Plateau,7289.2699999999995,4372.700000000001,Lunch,Full Site,Revenue,-2916.569999999999,-40.01182560119187,Red,Totals,,,,,,,,,,,,,,,,,
37,Paternoster Chophouse,14689.08,13358.380000000003,Lunch,Full Site,Revenue,-1330.699999999997,-9.059110577381272,Red,Totals,,,,,,,,,,,,,,,,,
38,Orrery,10310.860000000002,10502.77,Lunch,Full Site,Revenue,191.90999999999804,1.8612414483369766,lime,Totals,,,,,,,,,,,,,,,,,
39,New Street Warehouse,15015.780000000004,11085.619999999997,Lunch,Full Site,Revenue,-3930.160000000007,-26.173532110886054,Red,Totals,,,,,,,,,,,,,,,,,
40,Madison,11983.69,23458.859999999997,Lunch,Full Site,Revenue,11475.169999999996,95.75656579901512,lime,Totals,,,,,,,,,,,,,,,,,
41,Le Pont de la Tour,11359.19,7151.12,Lunch,Full Site,Revenue,-4208.070000000001,-37.04551116760967,Red,Totals,,,,,,,,,,,,,,,,,
42,Launceston Place,5471.78,2950.45,Lunch,Full Site,Revenue,-2521.33,-46.07878971742285,Red,Totals,,,,,,,,,,,,,,,,,
43,Issho,4317.7800000000025,4341.529999999999,Lunch,Full Site,Revenue,23.749999999996362,0.5500511837100628,lime,Totals,,,,,,,,,,,,,,,,,
44,German Gymnasium,36037.29,33387.14,Lunch,Full Site,Revenue,-2650.1500000000015,-7.35391035230452,Red,Totals,,,,,,,,,,,,,,,,,
45,Fiume,3723.1200000000003,3183.8500000000004,Lunch,Full Site,Revenue,-539.27,-14.484357205784393,Red,Totals,,,,,,,,,,,,,,,,,
46,East 59th,4066.0000000000005,1991.5799999999992,Lunch,Full Site,Revenue,-2074.420000000001,-51.01869158878507,Red,Totals,,,,,,,,,,,,,,,,,
47,Coq d'Argent,24751.63,15281.029999999999,Lunch,Full Site,Revenue,-9470.600000000002,-38.262530588894556,Red,Totals,,,,,,,,,,,,,,,,,
48,Cantina,2198.2999999999993,1369.47,Lunch,Full Site,Revenue,-828.8299999999992,-37.70322521948776,Red,Totals,,,,,,,,,,,,,,,,,
49,Butlers Wharf Chophouse,4818.3499999999985,3997.58,Lunch,Full Site,Revenue,-820.7699999999986,-17.034254464702624,Red,Totals,,,,,,,,,,,,,,,,,
