,Category,Price Bracket,Summary Category,Table,Table Type,Sales 2019,Sales 2020,Profit 2019,Profit 2020,Restaurant,Month,Margin 2019,Margin 2020,Sales Year Change,Profit Year Change,Margin Year Change,Sales % Change,Profit % Change,Margin % Change,Sales Colour,Profit Colour,Margin Colour,Drink Colour Column,Drink Colour
0,,,Beverage,Summary,Summary,2890224.5399999903,2964412.409999985,2189136.9299999955,2247601.210000001,Group,January,75.74279782428263,75.81945084354888,74187.86999999452,58464.28000000538,0.07665301926624579,2.5668548921806185,2.670654320376638,0.10120172672268431,lime,lime,lime,Beverage,Black
1,,,Wine,Summary,Summary,1544724.2600000028,1595337.5100000005,1140583.6199999985,1169737.4300000013,Group,January,73.83736046198928,73.32225454913306,50613.24999999767,29153.81000000285,-0.5151059128562139,3.276523280601392,2.5560431947990705,-0.6976223278205959,lime,lime,Red,Wine,Purple
2,,,Spirits,Summary,Summary,798356.6100000009,787915.87,633664.8000000002,630341.0600000005,Group,January,79.37114718696942,80.0010615346535,-10440.740000000922,-3323.7399999996414,0.6299143476840783,-1.3077789886402906,-0.5245265320086646,0.7936314013456682,Red,Red,lime,Spirits,Grey
3,,,Beer,Summary,Summary,268139.62000000005,285676.97000000003,194138.08000000007,209284.92000000007,Group,January,72.40186288024128,73.25929002957433,17537.349999999977,15146.839999999997,0.8574271493330485,6.540379970703312,7.802096322370135,1.1842611712233213,lime,lime,lime,Beer,Brown
4,,,Soft Drinks,Summary,Summary,278310.0599999998,294135.93000000005,220412.75999999998,237276.43999999994,Group,January,79.19683535693972,80.66897505517258,15825.870000000228,16863.679999999964,1.4721396982328656,5.6864167971507165,7.650954509167239,1.858836519916408,lime,lime,lime,Soft drinks,Brown
5,White Wine,,,Wine,Category,506231.0200000001,523437.81000000035,393120.35999999987,408728.65999999974,Group,January,77.65631588518613,78.08542909806219,17206.79000000027,15608.299999999872,0.42911321287606086,3.39899953187386,3.9703616470029375,0.5525799260300981,lime,lime,lime,White,Gold
6,Red Wine,,,Wine,Category,530297.6100000009,519675.6100000005,406850.6799999994,396776.4600000006,Group,January,76.72119812118306,76.35079506617603,-10622.000000000407,-10074.219999998808,-0.3704030550070314,-2.0030261875025968,-2.47614677699416,-0.4827910200541583,Red,Red,Red,Red,Red
7,Sparkling Wine,,,Wine,Category,436438.1300000001,457601.38000000006,284932.1500000003,292857.1300000001,Group,January,65.28580580253156,63.99830568692779,21163.24999999994,7924.979999999807,-1.2875001156037627,4.849083649038625,2.7813568949659766,-1.972098069062721,lime,lime,Red,Sparkling,Yellow
8,Rose Wine,,,Wine,Category,46209.26,64178.60000000001,36515.569999999985,50019.41000000001,Group,January,79.0221916559581,77.93783286017457,17969.34000000001,13503.840000000026,-1.0843587957835297,38.88688111430481,36.981046715141055,-1.3722206041874205,lime,lime,Red,Rose,Pink
9,Sweet Wine,,,Wine,Category,13355.050000000001,13994.850000000002,9992.160000000003,10530.440000000006,Group,January,74.81933800322726,75.2451080218795,639.8000000000011,538.2800000000025,0.4257700186522442,4.790697152013665,5.387023426366294,0.5690641350420381,lime,lime,lime,Sweet,Orange
10,Fortified Wine,,,Wine,Category,9380.690000000002,7049.26,7171.0599999999995,5423.080000000001,Group,January,76.44490970280435,76.93119561485886,-2331.430000000002,-1747.9799999999987,0.48628591205451244,-24.853502247702476,-24.37547587107065,0.636125955207549,Red,Red,lime,Fortified,Orange
11,Fine Wine,,,Wine,Category,2812.5,9400.0,2001.64,5402.249999999999,Group,January,71.16942222222222,57.47074468085105,6587.5,3400.6099999999988,-13.698677541371175,234.22222222222223,169.89118922483556,-19.247981947356383,lime,lime,Red,Fine Wine,Purple
12,Vodka,,,Spirits,Category,176610.93000000005,187559.88000000003,141422.46000000008,151581.86999999997,Group,January,80.07571218836797,80.8178540101433,10948.949999999983,10159.409999999887,0.74214182177532,6.1994747437205495,7.1837316364033565,0.9268001513736466,lime,lime,lime,Spirits,Grey
13,Gin,,,Spirits,Category,255915.31999999983,248407.81000000006,205146.50999999998,198328.92000000013,Group,January,80.16187151281139,79.84005011758691,-7507.5099999997765,-6817.589999999851,-0.3218213952244753,-2.9335914708036164,-3.3232785680828067,-0.4014644233612262,Red,Red,Red,Spirits,Grey
14,Whiskey,,,Spirits,Category,103211.11000000003,89103.17999999995,79627.30000000013,69443.05000000008,Group,January,77.14993085531209,77.93554618364924,-14107.93000000008,-10184.250000000058,0.7856153283371441,-13.669003269124879,-12.789897434673838,1.0182968664100251,Red,Red,lime,Spirits,Grey
15,Rum,,,Spirits,Category,65237.92999999997,69072.05,52634.530000000006,56204.619999999966,Group,January,80.68087077563625,81.37100317711717,3834.1200000000317,3570.08999999996,0.6901324014809234,5.877133134052588,6.782790688925995,0.8553854152121115,lime,lime,lime,Spirits,Grey
16,Tequila,,,Spirits,Category,41868.88,48324.180000000015,33265.21999999999,39067.66,Group,January,79.450943039317,80.8449517405158,6455.3000000000175,5802.440000000017,1.3940087011987998,15.41789510490851,17.442962950493097,1.7545527439604618,lime,lime,lime,Spirits,Grey
