,SiteName,2019,2020,Shift,Area,Measure,Year Change,% Change,Colour,Table,GenericLocation,RevenueType,LocationName,Day,OrdDay,OrdSession,Session,DaySession,Colour_TY,Colour_LY,Colour_CHG
0,White City,5934.78,1729.1599999999999,All Shifts,Full Site,Revenue,-4205.62,-70.86395788891922,Red,Totals,,,,,,,,,,,
1,Trinity,6732.2699999999995,5716.089999999998,All Shifts,Full Site,Revenue,-1016.1800000000012,-15.09416586084636,Red,Totals,,,,,,,,,,,
2,The Modern Pantry,48835.969999999994,0.0,All Shifts,Full Site,Revenue,-48835.969999999994,-100.0,Red,Totals,,,,,,,,,,,
3,South Place Hotel,79629.21999999999,12706.590000000002,All Shifts,Full Site,Revenue,-66922.62999999999,-84.04280488996376,Red,Totals,,,,,,,,,,,
4,Skylon,28056.5,12642.039999999995,All Shifts,Full Site,Revenue,-15414.460000000005,-54.94078021135924,Red,Totals,,,,,,,,,,,
5,Sartoria,35659.14,5208.409999999999,All Shifts,Full Site,Revenue,-30450.73,-85.3938990115858,Red,Totals,,,,,,,,,,,
6,Radici,2241.8599999999997,1393.18,All Shifts,Full Site,Revenue,-848.6799999999996,-37.85606594524189,Red,Totals,,,,,,,,,,,
7,Quaglinos,17504.030000000002,9673.549999999996,All Shifts,Full Site,Revenue,-7830.480000000007,-44.73529809992331,Red,Totals,,,,,,,,,,,
8,Plateau,15131.479999999998,1099.2499999999998,All Shifts,Full Site,Revenue,-14032.229999999998,-92.73534379981336,Red,Totals,,,,,,,,,,,
9,Paternoster Chophouse,18215.119999999995,7597.01,All Shifts,Full Site,Revenue,-10618.109999999995,-58.29283584187201,Red,Totals,,,,,,,,,,,
10,Orrery,8786.949999999997,7116.119999999999,All Shifts,Full Site,Revenue,-1670.829999999998,-19.014902781966423,Red,Totals,,,,,,,,,,,
11,New Street Warehouse,13666.469999999998,1894.71,All Shifts,Full Site,Revenue,-11771.759999999998,-86.13606878733134,Red,Totals,,,,,,,,,,,
12,Madison,13475.91,15976.260000000004,All Shifts,Full Site,Revenue,2500.350000000004,18.554220086064717,lime,Totals,,,,,,,,,,,
13,Le Pont de la Tour,15519.140000000005,2550.59,All Shifts,Full Site,Revenue,-12968.550000000005,-83.56487537324878,Red,Totals,,,,,,,,,,,
14,Launceston Place,2374.7900000000004,0.0,All Shifts,Full Site,Revenue,-2374.7900000000004,-100.0,Red,Totals,,,,,,,,,,,
15,Klosterhaus,0.0,4594.690000000001,All Shifts,Full Site,Revenue,4594.690000000001,100.0,lime,Totals,,,,,,,,,,,
16,Issho,4457.26,5705.990000000001,All Shifts,Full Site,Revenue,1248.7300000000005,28.015641896591188,lime,Totals,,,,,,,,,,,
17,German Gymnasium,41277.39,26434.04,All Shifts,Full Site,Revenue,-14843.349999999999,-35.96000134698439,Red,Totals,,,,,,,,,,,
18,Fiume,1145.4500000000003,1407.38,All Shifts,Full Site,Revenue,261.92999999999984,22.866995503950392,lime,Totals,,,,,,,,,,,
19,East 59th,1900.6999999999998,1090.5,All Shifts,Full Site,Revenue,-810.1999999999998,-42.626400799705365,Red,Totals,,,,,,,,,,,
20,Coq d'Argent,20814.559999999994,9390.410000000002,All Shifts,Full Site,Revenue,-11424.149999999992,-54.885378312104585,Red,Totals,,,,,,,,,,,
21,Cantina,2007.7600000000004,2461.8399999999997,All Shifts,Full Site,Revenue,454.07999999999925,22.61624895405821,lime,Totals,,,,,,,,,,,
22,Butlers Wharf Chophouse,6171.040000000001,1968.9199999999996,All Shifts,Full Site,Revenue,-4202.120000000001,-68.09419481967383,Red,Totals,,,,,,,,,,,
23,Blueprint Café,528.45,0.0,All Shifts,Full Site,Revenue,-528.45,-100.0,Red,Totals,,,,,,,,,,,
24,Bluebird Chelsea,16185.76,18792.950000000008,All Shifts,Full Site,Revenue,2607.190000000008,16.107924496594585,lime,Totals,,,,,,,,,,,
25,Avenue,7527.259999999997,939.3399999999999,All Shifts,Full Site,Revenue,-6587.919999999996,-87.5208243105725,Red,Totals,,,,,,,,,,,
26,Aster,11968.95,1734.3099999999995,All Shifts,Full Site,Revenue,-10234.640000000001,-85.50992359396606,Red,Totals,,,,,,,,,,,
27,20 Stories,25361.769999999997,20891.67000000001,All Shifts,Full Site,Revenue,-4470.099999999988,-17.625347126797493,Red,Totals,,,,,,,,,,,
28,100 Wardour Street,4607.869999999999,0.0,All Shifts,Full Site,Revenue,-4607.869999999999,-100.0,Red,Totals,,,,,,,,,,,
29,White City,1994.9200000000008,304.15,Lunch,Full Site,Revenue,-1690.770000000001,-84.75377458745214,Red,Totals,,,,,,,,,,,
30,Trinity,1287.4400000000003,1906.4300000000003,Lunch,Full Site,Revenue,618.99,48.0791337848754,lime,Totals,,,,,,,,,,,
31,The Modern Pantry,31549.19,0.0,Lunch,Full Site,Revenue,-31549.19,-100.0,Red,Totals,,,,,,,,,,,
32,South Place Hotel,7095.11,2426.73,Lunch,Full Site,Revenue,-4668.379999999999,-65.7971476129334,Red,Totals,,,,,,,,,,,
33,Skylon,12796.139999999996,4114.159999999999,Lunch,Full Site,Revenue,-8681.979999999996,-67.84842929195834,Red,Totals,,,,,,,,,,,
34,Sartoria,5858.539999999999,2300.35,Lunch,Full Site,Revenue,-3558.189999999999,-60.73509782300709,Red,Totals,,,,,,,,,,,
35,Radici,220.48999999999998,0.0,Lunch,Full Site,Revenue,-220.48999999999998,-100.0,Red,Totals,,,,,,,,,,,
36,Quaglinos,1022.0500000000001,0.0,Lunch,Full Site,Revenue,-1022.0500000000001,-100.0,Red,Totals,,,,,,,,,,,
37,Plateau,1812.54,0.0,Lunch,Full Site,Revenue,-1812.54,-100.0,Red,Totals,,,,,,,,,,,
38,Paternoster Chophouse,6894.3099999999995,3071.9800000000005,Lunch,Full Site,Revenue,-3822.329999999999,-55.44180635915703,Red,Totals,,,,,,,,,,,
39,Orrery,2828.4599999999996,1759.2699999999998,Lunch,Full Site,Revenue,-1069.1899999999998,-37.801135600291325,Red,Totals,,,,,,,,,,,
40,New Street Warehouse,3945.2,151.57999999999998,Lunch,Full Site,Revenue,-3793.62,-96.15786271925379,Red,Totals,,,,,,,,,,,
41,Madison,4632.25,3877.6900000000005,Lunch,Full Site,Revenue,-754.5599999999995,-16.28927626963138,Red,Totals,,,,,,,,,,,
42,Le Pont de la Tour,3226.7800000000007,555.25,Lunch,Full Site,Revenue,-2671.5300000000007,-82.79244324062998,Red,Totals,,,,,,,,,,,
43,Klosterhaus,0.0,1210.9299999999998,Lunch,Full Site,Revenue,1210.9299999999998,100.0,lime,Totals,,,,,,,,,,,
44,Issho,1046.37,1291.89,Lunch,Full Site,Revenue,245.5200000000002,23.46397545801201,lime,Totals,,,,,,,,,,,
45,German Gymnasium,10217.310000000001,8526.820000000002,Lunch,Full Site,Revenue,-1690.4899999999998,-16.545352935361652,Red,Totals,,,,,,,,,,,
46,Fiume,81.25,0.0,Lunch,Full Site,Revenue,-81.25,-100.0,Red,Totals,,,,,,,,,,,
47,East 59th,245.45000000000002,344.3,Lunch,Full Site,Revenue,98.85,40.27296801792625,lime,Totals,,,,,,,,,,,
48,Coq d'Argent,7661.349999999999,3658.2800000000007,Lunch,Full Site,Revenue,-4003.069999999999,-52.25019089324987,Red,Totals,,,,,,,,,,,
49,Cantina,479.3299999999999,737.8300000000002,Lunch,Full Site,Revenue,258.5000000000002,53.92944318110702,lime,Totals,,,,,,,,,,,
50,Butlers Wharf Chophouse,1079.17,607.38,Lunch,Full Site,Revenue,-471.7900000000001,-43.71785724213979,Red,Totals,,,,,,,,,,,
51,Blueprint Café,354.38999999999993,0.0,Lunch,Full Site,Revenue,-354.38999999999993,-100.0,Red,Totals,,,,,,,,,,,
52,Bluebird Chelsea,3563.1300000000006,4966.42,Lunch,Full Site,Revenue,1403.2899999999995,39.38363180686642,lime,Totals,,,,,,,,,,,
53,Avenue,1945.74,197.78000000000003,Lunch,Full Site,Revenue,-1747.96,-89.83522978404103,Red,Totals,,,,,,,,,,,
54,Aster,3654.2000000000003,270.1,Lunch,Full Site,Revenue,-3384.1000000000004,-92.60850528159379,Red,Totals,,,,,,,,,,,
55,20 Stories,7142.460000000002,6284.9000000000015,Lunch,Full Site,Revenue,-857.5600000000004,-12.00650756182044,Red,Totals,,,,,,,,,,,
56,100 Wardour Street,65.72999999999999,0.0,Lunch,Full Site,Revenue,-65.72999999999999,-100.0,Red,Totals,,,,,,,,,,,
57,White City,2991.2999999999993,1376.4599999999996,Dinner,Full Site,Revenue,-1614.8399999999997,-53.98455521010932,Red,Totals,,,,,,,,,,,
58,Trinity,5444.83,3809.6600000000008,Dinner,Full Site,Revenue,-1635.1699999999992,-30.031607965721598,Red,Totals,,,,,,,,,,,
59,The Modern Pantry,10223.47,0.0,Dinner,Full Site,Revenue,-10223.47,-100.0,Red,Totals,,,,,,,,,,,
60,South Place Hotel,17050.3,3029.1,Dinner,Full Site,Revenue,-14021.199999999999,-82.23433018773862,Red,Totals,,,,,,,,,,,
61,Skylon,13593.69,8527.88,Dinner,Full Site,Revenue,-5065.810000000001,-37.26589321957468,Red,Totals,,,,,,,,,,,
62,Sartoria,26728.609999999993,2797.91,Dinner,Full Site,Revenue,-23930.699999999993,-89.5321530000999,Red,Totals,,,,,,,,,,,
